year,decade,rank,title,artist
1960,1960s,1,Theme from A Summer Place,Percy Faith
1960,1960s,2,He'll Have to Go,Jim Reeves
1960,1960s,3,Cathy's Clown,The Everly Brothers
1960,1960s,4,Running Bear,Johnny Preston
1960,1960s,5,Teen Angel,Mark Dinning
1960,1960s,6,I'm Sorry,Brenda Lee
1960,1960s,7,It's Now or Never,Elvis Presley
1960,1960s,8,Handy Man,Jimmy Jones
1960,1960s,9,Stuck on You,Elvis Presley
1960,1960s,10,The Twist,Chubby Checker
1960,1960s,11,Everybody's Somebody's Fool,Connie Francis
1960,1960s,12,Wild One,Bobby Rydell
1960,1960s,13,Greenfields,The Brothers Four
1960,1960s,14,What in the World's Come Over You,Jack Scott
1960,1960s,15,El Paso,Marty Robbins
1960,1960s,16,Alley Oop,The Hollywood Argyles
1960,1960s,17,My Heart Has a Mind of Its Own,Connie Francis
1960,1960s,18,Sweet Nothin's,Brenda Lee
1960,1960s,19,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland
1960,1960s,20,Only the Lonely,Roy Orbison
1960,1960s,21,Where or When,Dion and the Belmonts
1960,1960s,22,Sixteen Reasons,Connie Stevens
1960,1960s,23,Puppy Love,Paul Anka
1960,1960s,24,Why,Frankie Avalon
1960,1960s,25,"Walk, Don't Run",The Ventures
1960,1960s,26,Save the Last Dance for me,The Drifters
1960,1960s,27,Baby (You've Got What It Takes),Dinah Washington & Brook Benton
1960,1960s,28,Sink the Bismarck,Johnny Horton
1960,1960s,29,Chain Gang,Sam Cooke
1960,1960s,30,Let It Be Me,The Everly Brothers
1960,1960s,31,Good Timin',Jimmy Jones
1960,1960s,32,Beyond the Sea,Bobby Darin
1960,1960s,33,"Go, Jimmy, Go",Jimmy Clanton
1960,1960s,34,Night,Jackie Wilson
1960,1960s,35,Burning Bridges,Jack Scott
1960,1960s,36,The Big Hurt,Toni Fisher
1960,1960s,37,Because They're Young,Duane Eddy
1960,1960s,38,Lonely Blue Boy,Conway Twitty
1960,1960s,39,Pretty Blue Eyes,Steve Lawrence
1960,1960s,40,Way Down Yonder in New Orleans,Freddy Cannon
1960,1960s,41,Paper Roses,Anita Bryant
1960,1960s,42,Mr. Custer,Larry Verne
1960,1960s,43,I Want to Be Wanted,Brenda Lee
1960,1960s,44,Mule Skinner Blues,The Fendermen
1960,1960s,45,Cradle of Love,Johnny Preston
1960,1960s,46,You Got What It Takes,Marv Johnson
1960,1960s,47,"Please Help Me, I'm Falling",Hank Locklin
1960,1960s,48,Love You So,Ron Holden
1960,1960s,49,Finger Poppin' Time,Hank Ballard & The Midnighters
1960,1960s,50,Harbor Lights,The Platters
1960,1960s,51,Let the Little Girl Dance,Billy Bland
1960,1960s,52,He'll Have to Stay,Jeanne Black
1960,1960s,53,Theme from The Apartment,Ferrante & Teicher
1960,1960s,54,Volare,Bobby Rydell
1960,1960s,55,A Million to One,Jimmy Charles
1960,1960s,56,The Village of St. Bernadette,Andy Williams
1960,1960s,57,White Silver Sands,Bill Black's Combo
1960,1960s,58,The Old Lamp-Lighter,The Browns
1960,1960s,59,Devil or Angel,Bobby Vee
1960,1960s,60,Down by the Station,The Four Preps
1960,1960s,61,Forever,The Little Dippers
1960,1960s,62,Image of a Girl,The Safaris & The Phantom's Band
1960,1960s,63,Kiddio,Brook Benton
1960,1960s,64,Mission Bell,Donnie Brooks
1960,1960s,65,I Love the Way You Love,Marv Johnson
1960,1960s,66,It's Time to Cry,Paul Anka
1960,1960s,67,Tell Laura I Love Her,Ray Peterson
1960,1960s,68,Mama,Connie Francis
1960,1960s,69,Footsteps,Steve Lawrence
1960,1960s,70,So Sad,The Everly Brothers
1960,1960s,71,That's All You Gotta Do,Brenda Lee
1960,1960s,72,Walking to New Orleans,Fats Domino
1960,1960s,73,Among My Souvenirs,Connie Francis
1960,1960s,74,Swingin' School,Bobby Rydell
1960,1960s,75,A Rockin' Good Way (to Mess Around and Fall in Love),Dinah Washington & Brook Benton
1960,1960s,76,Stairway to Heaven,Neil Sedaka
1960,1960s,77,My Home Town,Paul Anka
1960,1960s,78,Georgia on My Mind,Ray Charles
1960,1960s,79,Cherry Pie,Skip & Flip
1960,1960s,80,Wonderful World,Sam Cooke
1960,1960s,81,Tracy's Theme,Robert Mersey
